Etapa,Year,Month,Block
774,2028,5,6
775,2028,5,7
776,2028,5,8
777,2028,5,9
778,2028,5,10
779,2028,5,11
780,2028,5,12
781,2028,6,1
782,2028,6,2
783,2028,6,3
784,2028,6,4
785,2028,6,5
786,2028,6,6
787,2028,6,7
788,2028,6,8
789,2028,6,9
790,2028,6,10
791,2028,6,11
792,2028,6,12
793,2028,7,1
794,2028,7,2
795,2028,7,3
796,2028,7,4
797,2028,7,5
798,2028,7,6
799,2028,7,7
800,2028,7,8
801,2028,7,9
802,2028,7,10
803,2028,7,11
804,2028,7,12
805,2028,8,1
806,2028,8,2
807,2028,8,3
808,2028,8,4
809,2028,8,5
810,2028,8,6
811,2028,8,7
812,2028,8,8
813,2028,8,9
814,2028,8,10
815,2028,8,11
816,2028,8,12
817,2028,9,1
818,2028,9,2
819,2028,9,3
820,2028,9,4
821,2028,9,5
822,2028,9,6
823,2028,9,7
824,2028,9,8
825,2028,9,9
826,2028,9,10
827,2028,9,11
828,2028,9,12
829,2028,10,1
830,2028,10,2
831,2028,10,3
832,2028,10,4
833,2028,10,5
834,2028,10,6
835,2028,10,7
836,2028,10,8
837,2028,10,9
838,2028,10,10
839,2028,10,11
840,2028,10,12
841,2028,11,1
842,2028,11,2
843,2028,11,3
844,2028,11,4
845,2028,11,5
846,2028,11,6
847,2028,11,7
848,2028,11,8
849,2028,11,9
850,2028,11,10
851,2028,11,11
852,2028,11,12
853,2028,12,1
854,2028,12,2
855,2028,12,3
856,2028,12,4
857,2028,12,5
858,2028,12,6
859,2028,12,7
860,2028,12,8
861,2028,12,9
862,2028,12,10
863,2028,12,11
864,2028,12,12
865,2029,1,1
866,2029,1,2
867,2029,1,3
868,2029,1,4
869,2029,1,5
870,2029,1,6
871,2029,1,7
872,2029,1,8
873,2029,1,9
874,2029,1,10
875,2029,1,11
876,2029,1,12
877,2029,2,1
878,2029,2,2
879,2029,2,3
880,2029,2,4
881,2029,2,5
882,2029,2,6
883,2029,2,7
884,2029,2,8
885,2029,2,9
886,2029,2,10
887,2029,2,11
888,2029,2,12
889,2029,3,1
890,2029,3,2
891,2029,3,3
892,2029,3,4
893,2029,3,5
894,2029,3,6
895,2029,3,7
896,2029,3,8
897,2029,3,9
898,2029,3,10
899,2029,3,11
900,2029,3,12
901,2029,4,1
902,2029,4,2
903,2029,4,3
904,2029,4,4
905,2029,4,5
906,2029,4,6
907,2029,4,7
908,2029,4,8
909,2029,4,9
910,2029,4,10
911,2029,4,11
912,2029,4,12
913,2029,5,1
914,2029,5,2
915,2029,5,3
916,2029,5,4
917,2029,5,5
918,2029,5,6
919,2029,5,7
920,2029,5,8
921,2029,5,9
922,2029,5,10
923,2029,5,11
924,2029,5,12
925,2029,6,1
926,2029,6,2
927,2029,6,3
928,2029,6,4
929,2029,6,5
930,2029,6,6
931,2029,6,7
932,2029,6,8
933,2029,6,9
934,2029,6,10
935,2029,6,11
936,2029,6,12
937,2029,7,1
938,2029,7,2
939,2029,7,3
940,2029,7,4
941,2029,7,5
942,2029,7,6
943,2029,7,7
944,2029,7,8
945,2029,7,9
946,2029,7,10
947,2029,7,11
948,2029,7,12
949,2029,8,1
950,2029,8,2
951,2029,8,3
952,2029,8,4
953,2029,8,5
954,2029,8,6
955,2029,8,7
956,2029,8,8
957,2029,8,9
958,2029,8,10
959,2029,8,11
960,2029,8,12
961,2029,9,1
962,2029,9,2
963,2029,9,3
964,2029,9,4
965,2029,9,5
966,2029,9,6
967,2029,9,7
968,2029,9,8
969,2029,9,9
970,2029,9,10
971,2029,9,11
972,2029,9,12
973,2029,10,1
974,2029,10,2
975,2029,10,3
976,2029,10,4
977,2029,10,5
978,2029,10,6
979,2029,10,7
980,2029,10,8
981,2029,10,9
982,2029,10,10
983,2029,10,11
984,2029,10,12
985,2029,11,1
986,2029,11,2
987,2029,11,3
988,2029,11,4
989,2029,11,5
990,2029,11,6
991,2029,11,7
992,2029,11,8
993,2029,11,9
994,2029,11,10
995,2029,11,11
996,2029,11,12
997,2029,12,1
998,2029,12,2
999,2029,12,3
1000,2029,12,4
1001,2029,12,5
1002,2029,12,6
1003,2029,12,7
1004,2029,12,8
1005,2029,12,9
1006,2029,12,10
1007,2029,12,11
1008,2029,12,12
1009,2030,1,1
1010,2030,1,2
1011,2030,1,3
1012,2030,1,4
1013,2030,1,5
1014,2030,1,6
1015,2030,1,7
1016,2030,1,8
1017,2030,1,9
1018,2030,1,10
